agmctb,,49451000,-796,-495,328,-3,-2,-3,45,-24,-44
agmctb,,49451020,-792,-499,339,2,0,-4,45,-23,-45
agmctb,,49451040,-792,-503,328,2,-3,-10,47,-20,-48
agmctb,,49451060,-796,-495,324,6,6,-8,45,-24,-45
agmctb,,49451080,-792,-499,324,0,1,-5,47,-23,-51
agmctb,,49451100,-796,-499,316,-2,0,-14,46,-23,-42
agmctb,,49451120,-796,-499,324,-5,5,-13,45,-22,-45
agmctb,,49451140,-812,-491,328,-3,-1,-13,45,-24,-47
agmctb,,49451160,-804,-491,328,-3,-3,-7,44,-24,-47
agmctb,,49451180,-792,-495,316,-10,-7,-7,40,-26,-46
agmctb,,49451200,-792,-503,332,-16,-6,-8,47,-22,-50
agmctb,,49451220,-789,-507,324,-21,-8,-7,42,-23,-45
agmctb,,49451240,-800,-487,351,-11,-3,-9,45,-25,-44
agmctb,,49451260,-796,-499,316,-7,-2,-12,47,-23,-48
agmctb,,49451280,-796,-499,324,-1,4,-13,48,-22,-41
agmctb,,49451300,-796,-491,324,-14,-1,-12,40,-24,-45
agmctb,,49451320,-785,-495,324,-26,1,-19,44,-24,-43
agmctb,,49451340,-800,-503,332,-6,6,-16,45,-22,-45
agmctb,,49451360,-800,-499,347,-3,4,-18,48,-24,-48
agmctb,,49451380,-792,-487,328,-7,6,-10,40,-24,-46
agmctb,,49451400,-796,-503,343,-7,4,-13,46,-22,-44
agmctb,,49451420,-804,-487,347,-3,5,-10,48,-24,-50
agmctb,,49451440,-792,-499,336,14,9,-15,45,-21,-47
agmctb,,49451460,-792,-503,332,16,15,-15,46,-22,-47
agmctb,,49451480,-804,-503,328,12,17,-13,44,-24,-50
agmctb,,49451500,-800,-507,332,4,16,-7,43,-27,-50
agmctb,,49451520,-800,-503,312,0,9,-6,43,-26,-48
agmctb,,49451540,-796,-499,316,-4,9,-9,46,-26,-48
agmctb,,49451560,-785,-503,336,-3,4,-10,45,-24,-50
agmctb,,49451580,-792,-499,332,-3,5,-12,40,-24,-43
agmctb,,49451600,-800,-499,320,0,5,-7,44,-25,-48
agmctb,,49451620,-796,-503,347,5,1,-4,39,-25,-42
agmctb,,49451640,-800,-491,332,2,6,0,44,-25,-45
agmctb,,49451660,-808,-499,320,4,5,0,43,-24,-43
agmctb,,49451680,-796,-503,328,6,8,5,45,-24,-45
agmctb,,49451700,-792,-499,332,1,-1,0,45,-23,-42
agmctb,,49451720,-792,-503,316,10,9,0,43,-23,-48
agmctb,,49451740,-796,-507,320,0,4,-3,40,-23,-49
agmctb,,49451760,-792,-503,324,-1,-1,0,46,-24,-50
agmctb,,49451780,-796,-503,316,-7,1,3,43,-24,-46
agmctb,,49451800,-804,-483,312,-10,3,1,45,-25,-47
agmctb,,49451820,-804,-495,328,-11,-1,-5,45,-24,-47
agmctb,,49451840,-792,-495,339,-3,0,0,42,-24,-43
agmctb,,49451860,-792,-507,312,3,0,0,43,-24,-46
agmctb,,49451880,-800,-491,324,5,-1,0,47,-22,-50
agmctb,,49451900,-800,-495,324,-3,5,-4,45,-22,-44
agmctb,,49451920,-796,-491,332,-6,0,-5,45,-24,-48
agmctb,,49451940,-789,-491,320,-1,-3,-6,43,-25,-48
agmctb,,49451960,-792,-495,339,1,-3,-6,42,-23,-45
agmctb,,49451980,-800,-491,332,4,0,-10,45,-23,-45
agmctb,,49452000,-796,-487,332,2,-6,-13,43,-24,-46
agmctb,,49452020,-800,-495,328,4,-5,-11,45,-23,-48
agmctb,,49452040,-808,-491,332,4,-9,-11,45,-24,-47
agmctb,,49452060,-800,-511,328,4,-17,-9,43,-22,-45
agmctb,,49452080,-789,-507,324,5,-17,-13,47,-20,-47
agmctb,,49452100,-789,-499,328,4,-19,-9,45,-24,-48
agmctb,,49452120,-785,-491,312,1,-13,-9,45,-25,-47
agmctb,,49452140,-781,-503,312,4,-11,-10,44,-23,-50
agmctb,,49452160,-800,-499,316,4,-12,-14,45,-22,-42
agmctb,,49452180,-796,-503,324,7,-13,-18,46,-22,-45
agmctb,,49452200,-792,-503,332,4,-10,-12,39,-26,-40
agmctb,,49452220,-796,-499,324,0,-9,-9,45,-23,-45
agmctb,,49452240,-789,-499,312,1,-4,-7,47,-22,-44
agmctb,,49452260,-796,-507,316,-8,-8,-9,39,-23,-49
agmctb,,49452280,-789,-495,328,-3,-16,-6,43,-24,-43
agmctb,,49452300,-796,-495,332,4,-14,-6,42,-23,-48
agmctb,,49452320,-781,-503,328,0,-16,-3,43,-25,-42
agmctb,,49452340,-804,-495,339,-8,-22,-3,43,-23,-42
agmctb,,49452360,-800,-495,343,0,-20,-5,44,-26,-39
agmctb,,49452380,-789,-503,339,3,-13,-6,44,-26,-45
agmctb,,49452400,-789,-499,320,9,-8,-11,45,-25,-53
agmctb,,49452420,-789,-495,324,1,-6,-16,44,-25,-50
agmctb,,49452440,-800,-495,332,-8,-3,-17,44,-24,-43
agmctb,,49452460,-777,-514,336,-8,-1,-13,44,-24,-43
agmctb,,49452480,-792,-507,336,-8,6,-17,44,-25,-48
agmctb,,49452500,-800,-499,316,-3,6,-10,44,-24,-43
agmctb,,49452520,-800,-483,328,-14,0,-13,46,-23,-45
agmctb,,49452540,-792,-507,324,-18,1,3,45,-25,-47
agmctb,,49452560,-777,-503,355,-8,1,0,45,-27,-47
agmctb,,49452580,-792,-491,316,-9,-3,0,45,-24,-44
agmctb,,49452600,-789,-495,339,-8,3,-3,45,-22,-44
agmctb,,49452620,-796,-495,336,-8,4,-3,44,-24,-47
agmctb,,49452640,-789,-503,328,-12,8,-7,45,-25,-44
agmctb,,49452660,-785,-503,339,-10,11,-4,44,-24,-43
agmctb,,49452680,-792,-499,316,-8,22,-13,42,-26,-45
agmctb,,49452700,-816,-487,339,-12,22,-11,45,-24,-48
agmctb,,49452720,-800,-499,336,-17,32,-5,45,-24,-44
agmctb,,49452740,-804,-495,343,-20,27,-4,45,-24,-44
agmctb,,49452760,-800,-511,347,-17,37,2,42,-24,-46
agmctb,,49452780,-792,-518,367,7,43,5,45,-24,-48
agmctb,,49452800,-800,-495,351,28,57,6,44,-23,-45
agmctb,,49452820,-800,-491,304,32,71,4,43,-23,-45
agmctb,,49452840,-812,-503,296,-14,80,7,44,-20,-45
agmctb,,49452860,-816,-507,312,-41,89,3,43,-24,-46
agmctb,,49452880,-808,-503,355,-40,92,14,44,-25,-45
agmctb,,49452900,-796,-487,359,-10,93,16,45,-23,-48
agmctb,,49452920,-804,-483,328,15,99,3,44,-25,-47
agmctb,,49452940,-808,-479,328,35,109,-1,42,-25,-45
agmctb,,49452960,-812,-471,316,50,117,7,43,-23,-45
agmctb,,49452980,-800,-487,320,56,117,-3,44,-25,-51
agmctb,,49453000,-804,-483,304,58,128,-17,43,-23,-46
agmctb,,49453020,-816,-483,281,44,135,-31,44,-24,-43
agmctb,,49453040,-812,-495,300,41,145,-42,44,-23,-51
agmctb,,49453060,-808,-495,308,25,157,-34,41,-23,-49
agmctb,,49453080,-820,-499,304,40,166,-35,45,-24,-50
agmctb,,49453100,-839,-487,316,53,172,-40,42,-23,-51
agmctb,,49453120,-839,-483,308,81,182,-35,36,-27,-48
agmctb,,49453140,-843,-483,293,103,189,-33,42,-25,-51
agmctb,,49453160,-843,-487,289,103,185,-31,41,-27,-49
agmctb,,49453180,-832,-507,265,115,182,-23,42,-25,-49
agmctb,,49453200,-832,-483,257,107,177,-25,39,-26,-49
agmctb,,49453220,-832,-483,238,110,182,-22,41,-25,-49
agmctb,,49453240,-832,-479,226,85,182,-18,39,-24,-49
agmctb,,49453260,-835,-487,246,83,178,-19,39,-28,-51
agmctb,,49453280,-835,-491,238,71,171,-5,39,-28,-45
