agmctb,,49451000,984,-59,-234,17,4,-12,-39,219,-16
agmctb,,49451020,988,-51,-206,23,1,-13,-33,223,-14
agmctb,,49451040,988,-63,-230,19,0,-9,-34,223,-17
agmctb,,49451060,984,-59,-214,21,4,-15,-35,224,-22
agmctb,,49451080,984,-63,-226,19,-2,-17,-35,224,-16
agmctb,,49451100,981,-59,-206,23,-4,-19,-34,224,-9
agmctb,,49451120,984,-59,-237,19,-3,-15,-33,225,-10
agmctb,,49451140,988,-59,-226,20,-2,-17,-34,222,-10
agmctb,,49451160,984,-51,-230,22,2,-18,-34,222,-13
agmctb,,49451180,984,-55,-226,21,-1,-17,-34,226,-19
agmctb,,49451200,992,-63,-214,23,-3,-24,-33,225,-20
agmctb,,49451220,981,-59,-218,19,2,-21,-34,224,-10
agmctb,,49451240,984,-59,-226,21,-3,-17,-33,227,-15
agmctb,,49451260,981,-51,-206,23,0,-15,-34,224,-9
agmctb,,49451280,984,-51,-218,19,-1,-14,-39,220,-19
agmctb,,49451300,992,-55,-210,19,6,-17,-34,221,-14
agmctb,,49451320,984,-55,-214,17,3,-19,-38,223,-15
agmctb,,49451340,984,-51,-210,21,2,-12,-33,224,-23
agmctb,,49451360,992,-67,-202,20,0,-14,-44,223,-21
agmctb,,49451380,988,-59,-214,15,1,-19,-34,226,-18
agmctb,,49451400,988,-59,-210,22,2,-18,-36,224,-19
agmctb,,49451420,981,-51,-230,18,-1,-17,-33,225,-17
agmctb,,49451440,988,-51,-206,19,-4,-12,-34,228,-21
agmctb,,49451460,992,-59,-214,17,2,-17,-35,223,-7
agmctb,,49451480,984,-55,-214,23,5,-17,-34,226,-13
agmctb,,49451500,984,-59,-206,24,1,-20,-37,222,-6
agmctb,,49451520,996,-51,-214,19,0,-19,-37,222,-12
agmctb,,49451540,992,-47,-214,14,0,-12,-37,222,-3
agmctb,,49451560,984,-51,-218,19,1,-15,-35,223,-13
agmctb,,49451580,988,-75,-222,21,8,-15,-39,221,-8
agmctb,,49451600,984,-55,-210,27,-1,-22,-42,219,-6
agmctb,,49451620,992,-47,-210,21,2,-14,-43,220,-12
agmctb,,49451640,992,-47,-222,23,2,-12,-35,222,-13
agmctb,,49451660,992,-59,-218,23,3,-15,-35,220,-11
agmctb,,49451680,988,-55,-214,26,2,-12,-36,221,-15
agmctb,,49451700,984,-55,-222,18,3,-10,-35,222,-16
agmctb,,49451720,992,-59,-226,18,-1,-15,-36,221,-9
agmctb,,49451740,981,-47,-230,21,4,-12,-36,220,-12
agmctb,,49451760,984,-59,-226,24,-1,-16,-35,222,-15
agmctb,,49451780,984,-47,-214,24,6,-8,-34,221,-12
agmctb,,49451800,984,-59,-214,19,2,-13,-34,222,-13
agmctb,,49451820,984,-55,-222,19,2,-17,-35,221,-13
agmctb,,49451840,981,-63,-222,27,-2,-18,-35,221,-15
agmctb,,49451860,988,-43,-206,23,6,-19,-35,221,-6
agmctb,,49451880,992,-55,-210,22,2,-12,-34,223,-17
agmctb,,49451900,984,-47,-218,28,4,-11,-35,221,-13
agmctb,,49451920,992,-55,-218,23,9,-9,-36,221,-22
agmctb,,49451940,984,-59,-222,17,2,-12,-38,222,-18
agmctb,,49451960,992,-55,-218,18,4,-7,-37,223,-16
